date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2016-02-23,2468,21100,215575,10.25,10.15,-0.1,13.0,10.3,10.15
2016-02-24,2468,6011,61011,10.15,10.15,0.0,4.0,10.15,10.15
2016-02-25,2468,27000,275300,10.15,10.3,0.15,18.0,10.3,10.15
2016-02-26,2468,58100,596640,10.2,10.3,0.0,19.0,10.3,10.2
2016-03-01,2468,101038,1050653,10.35,10.55,0.25,49.0,10.55,10.3
2016-03-02,2468,34000,357250,10.6,10.5,-0.05,22.0,10.6,10.45
2016-03-03,2468,44032,461182,10.5,10.5,0.0,29.0,10.5,10.45
2016-03-04,2468,68000,711050,10.5,10.45,-0.05,27.0,10.5,10.4
2016-03-07,2468,84000,877150,10.5,10.4,-0.05,31.0,10.5,10.4
2016-03-08,2468,166000,1752500,10.5,10.65,0.25,64.0,10.7,10.4
2016-03-09,2468,47000,499450,10.7,10.65,0.0,13.0,10.7,10.6
2016-03-10,2468,38366,407429,10.65,10.65,0.0,23.0,10.65,10.6
2016-03-11,2468,49000,516200,10.55,10.6,-0.05,24.0,10.6,10.5
2016-03-14,2468,29026,307873,10.65,10.6,0.0,21.0,10.65,10.55
2016-03-15,2468,108968,1131123,10.55,10.3,-0.3,46.0,10.55,10.3
2016-03-16,2468,34000,353100,10.3,10.45,0.15,16.0,10.45,10.3
2016-03-17,2468,86000,894450,10.45,10.45,0.0,39.0,10.5,10.3
2016-03-18,2468,77000,807350,10.55,10.5,0.05,24.0,10.55,10.45
2016-03-21,2468,26348,276168,10.5,10.5,0.0,19.0,10.5,10.45
2016-03-22,2468,110000,1161100,10.6,10.6,0.1,42.0,10.65,10.5
2016-03-23,2468,114000,1227400,10.65,10.65,0.05,46.0,10.85,10.65
2016-03-24,2468,76000,806050,10.7,10.6,-0.05,31.0,10.7,10.55
2016-03-25,2468,55448,586021,10.65,10.6,0.0,21.0,10.7,10.5
2016-03-28,2468,51000,538300,10.65,10.6,0.0,20.0,10.65,10.5
2016-03-29,2468,58026,609226,10.55,10.55,-0.05,30.0,10.55,10.45
2016-03-30,2468,25000,264100,10.5,10.65,0.1,11.0,10.7,10.5
2016-03-31,2468,21102,221810,10.55,10.5,-0.15,9.0,10.55,10.5
2016-04-01,2468,3001,31660,10.5,10.6,0.1,4.0,10.6,10.5
2016-04-06,2468,39303,415481,10.5,10.55,-0.05,25.0,10.6,10.45
2016-04-07,2468,45000,472650,10.5,10.55,0.0,14.0,10.55,10.5
2016-04-08,2468,41002,435921,10.55,10.7,0.15,27.0,10.7,10.55
2016-04-11,2468,104145,1120001,10.7,10.8,0.1,51.0,10.8,10.7
2016-04-12,2468,104000,1119900,10.8,10.75,-0.05,41.0,10.9,10.7
2016-04-13,2468,106360,1134751,10.75,10.75,0.0,47.0,10.8,10.6
2016-04-14,2468,88000,948200,10.75,10.75,0.0,34.0,10.85,10.7
2016-04-15,2468,111000,1195200,10.75,10.7,-0.05,34.0,10.8,10.7
2016-04-18,2468,36300,390010,10.7,10.7,0.0,21.0,10.75,10.7
2016-04-19,2468,72000,776350,10.8,10.85,0.15,20.0,10.9,10.75
2016-04-20,2468,69537,750695,10.85,10.75,-0.1,24.0,10.85,10.75
2016-04-21,2468,55000,591900,10.8,10.8,0.05,24.0,10.8,10.7
2016-04-22,2468,56000,598400,10.75,10.8,0.0,23.0,10.8,10.6
2016-04-25,2468,28000,302650,10.8,10.75,-0.05,16.0,10.85,10.75
2016-04-26,2468,29000,311300,10.75,10.8,0.05,11.0,10.8,10.7
2016-04-27,2468,44134,474177,10.75,10.7,-0.1,12.0,10.75,10.7
2016-04-28,2468,36000,383250,10.7,10.75,0.05,22.0,10.75,10.6
2016-04-29,2468,93000,991800,10.7,10.75,0.0,22.0,10.75,10.6
2016-05-03,2468,29900,317900,10.55,10.55,-0.2,10.0,10.65,10.55
2016-05-04,2468,39001,407560,10.55,10.4,-0.15,18.0,10.55,10.4
2016-05-05,2468,65201,672360,10.35,10.3,-0.1,27.0,10.4,10.3
2016-05-06,2468,24000,247950,10.3,10.45,0.15,11.0,10.45,10.3
2016-05-09,2468,21000,217100,10.3,10.35,-0.1,8.0,10.35,10.3
2016-05-10,2468,9000,92550,10.25,10.3,-0.05,6.0,10.3,10.25
2016-05-11,2468,16606,170291,10.25,10.4,0.1,12.0,10.4,10.2
2016-05-12,2468,6000,61750,10.2,10.4,0.0,6.0,10.4,10.2
2016-05-13,2468,9299,95049,10.2,10.3,-0.1,5.0,10.3,10.2
2016-05-16,2468,28000,283950,10.3,10.1,-0.2,14.0,10.3,10.05
2016-05-17,2468,22000,224650,10.25,10.35,0.25,9.0,10.35,10.1
2016-05-18,2468,1000,10300,10.3,10.3,-0.05,1.0,10.3,10.3
2016-05-19,2468,33000,337400,10.2,10.25,-0.05,11.0,10.25,10.2
2016-05-20,2468,9000,91800,10.2,10.2,-0.05,4.0,10.2,10.2
2016-05-23,2468,7000,72200,10.3,10.35,0.15,5.0,10.35,10.25
2016-05-24,2468,5000,51400,10.3,10.35,0.0,4.0,10.35,10.15
2016-05-25,2468,9050,92917,10.2,10.35,0.0,8.0,10.35,10.2
